epoch,revenue,broker_num,mer,fund,Rank
1,152.300000,0,0.200000,300000,13
2,162.050000,0,0.050000,300000,2
3,1996.450000,11,0.050000,3600000,1
4,1895.050000,11,0.133846,3600000,1
5,1842.850000,11,0.225599,3600000,1
6,1720.800000,10,0.314751,3300000,3
7,1834.900000,11,0.153334,3600000,1
8,1905.100000,11,0.241814,3600000,1
9,1854.300000,11,0.326396,3600000,1
10,1719.600000,10,0.415360,3300000,3
11,1337.500000,11,0.245417,3600000,1
12,878.600000,4,0.328848,1500000,9
13,1489.250000,8,0.162965,2700000,4
14,2196.200000,14,0.050000,4500000,1
15,2233.050000,14,0.129546,4500000,1
16,2197.400000,14,0.215659,4500000,1
17,2218.550000,14,0.297656,4500000,1
18,2097.050000,13,0.387465,4200000,1
19,1892.800000,11,0.479359,3600000,1
20,1444.750000,8,0.500000,2700000,4
21,1722.450000,10,0.332274,3300000,3
22,1966.250000,12,0.167255,3900000,1
23,2080.350000,13,0.250679,4200000,1
24,2003.850000,12,0.334138,3900000,1
25,1137.850000,10,0.426970,3300000,3
26,1051.000000,5,0.265933,1800000,8
27,1139.500000,10,0.093808,3300000,3
28,658.750000,6,0.050000,2100000,7
29,669.050000,6,0.050000,2100000,7
30,668.400000,6,0.050000,2100000,7
31,657.150000,6,0.050000,2100000,7
32,1340.950000,7,0.050000,2400000,5
33,2569.900000,18,0.050000,5700000,1
34,2782.200000,20,0.131692,6300000,1
35,2665.400000,20,0.291692,6300000,1
36,1665.500000,14,0.451692,4500000,1
37,888.900000,4,0.500000,1500000,9
38,867.550000,8,0.336049,2700000,4
39,1046.400000,5,0.176422,1800000,8
40,2086.300000,13,0.050000,4200000,1
41,2307.800000,15,0.144066,4800000,1
42,1986.000000,16,0.235658,5100000,1
43,855.500000,8,0.319344,2700000,4
44,887.150000,4,0.157853,1500000,9
45,1848.850000,11,0.050000,3600000,1
46,1691.950000,14,0.130437,4500000,1
47,760.000000,7,0.214455,2400000,5
48,1037.050000,5,0.052114,1800000,8
49,2084.000000,13,0.050000,4200000,1
50,2306.000000,15,0.136770,4800000,1
51,1960.300000,16,0.228410,5100000,1
52,1609.100000,9,0.311128,3000000,4
53,2076.700000,13,0.139132,4200000,1
54,2337.800000,15,0.219852,4800000,1
55,2290.750000,15,0.305825,4800000,1
56,2060.650000,13,0.386694,4200000,1
57,1839.250000,11,0.467546,3600000,1
58,868.650000,8,0.500000,2700000,4
59,446.800000,4,0.330987,1500000,9
60,721.800000,3,0.160939,1200000,10
61,1757.050000,10,0.050000,3300000,3
62,2361.350000,15,0.050000,4800000,1
63,1949.800000,16,0.130019,5100000,1
64,986.650000,9,0.209770,3000000,4
65,648.650000,6,0.050000,2100000,7
66,1224.200000,6,0.050000,2100000,7
67,2277.100000,15,0.050000,4800000,1
68,2408.650000,16,0.131092,5100000,1
69,2340.050000,15,0.212701,4800000,1
70,1816.100000,15,0.303216,4800000,1
